Category,Message
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,"Lets use it next week, princess :)"
ham,Cant think of anyone with * spare room off * top of my head
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,Ok lor...
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04
ham,Hope youre not having too much fun without me!! see u tomorrow love jess x
ham,HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
ham,Yo! Howz u? girls never rang after india. L
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...
ham,"Sorry, got a late start, we're on the way"
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.
ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour
ham,I.ll get there tomorrow and send it to you
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Pls send me your address sir.
ham,K I'll call you when I'm close
ham,Mm i had my food da from out
ham,Jus ans me lar. U'll noe later.
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time
ham,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
ham,Does uncle timi help in clearing cars
ham,"Oh yes, why is it like torture watching england?"
ham,Company is very good.environment is terrific and food is really nice:)
ham,"Sorry, I'll call later"
spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,Or ill be a little closer like at the bus stop on the same street
ham,I'm reaching home in 5 min.
ham,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
ham,"Nah, Wednesday. When should I bring the mini cheetos bag over?"
ham,Oh k k:)but he is not a big hitter.anyway good
ham,"Its good, we'll find a way"
ham,"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!"
ham,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt;
ham,Like a personal sized or what
ham,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
ham,We live in the next  &lt;#&gt; mins
ham,How did you find out in a way that didn't include all of these details
ham,Yo we are watching a movie on netflix
ham,Dai what this da.. Can i send my resume to this id.
ham,Yo come over carlos will be here soon
ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
ham,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
ham,Maybe i could get book out tomo then return it immediately ..? Or something.
ham,S:)s.nervous  &lt;#&gt; :)
ham,Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
ham,If india win or level series means this is record:)
ham,I think if he rule tamilnadu..then its very tough for our people.
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,"Haha better late than ever, any way I could swing by?"
ham,"Call me da, i am waiting for your call."
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
ham,I sent them. Do you like?
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
ham,Jay says that you're a double-faggot
spam,A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
ham,Can... I'm free...
ham,Oh... Okie lor...We go on sat...
ham,Hanging out with my brother and his family
ham,Yup
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"
ham,How much i gave to you. Morning.
ham,Ü still attending da talks?
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,His frens go then he in lor. Not alone wif my mum n sis lor.
ham,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
ham,Pls help me tell Ashley that i cant find her number oh
ham,"Cool, want me to go to kappa or should I meet you outside mu"
spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
ham,Yes watching footie but worried we're going to blow it - Phil Neville?
ham,"Feb  &lt;#&gt;  is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,If I die I want u to have all my stuffs.
ham,"Wn u r hurt by d prsn who s close 2 u, do fight wit dem. Coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. Gud eveB-)"
ham,Yes.. now only saw your message..
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,"Sorry, I'll call later ok bye"
ham,I keep ten rs in my shelf:) buy two egg.
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
ham,Love you aathi..love u lot..
ham,Lol or I could just starve and lose a pound by the end of the day.
ham,"Are you sure you don't mean ""get here, we made you hold all the weed"""
ham,WHAT TIME U WRKIN?
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
ham,I can't make it tonight
ham,No it's waiting in e car dat's bored wat. Cos wait outside got nothing 2 do. At home can do my stuff or watch tv wat.
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
ham,Oh baby of the house. How come you dont have any new pictures on facebook
ham,Hey check it da. I have listed da.
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,Ok then i'll let him noe later n ask him call u tmr...
ham,Ok.. Ü finishing soon?
ham,Me n him so funny...
ham,You see the requirements please
ham,Dear good morning how you feeling dear
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham,K I'll be sure to get up before noon and see what's what
ham,Lol wtf random. Btw is that your lunch break
ham,No need for the drug anymore.
ham,Are u coming to the funeral home
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
ham,All sounds good. Fingers . Makes it difficult to type
ham,Dude we should go sup again
ham,Will do. Have a good day
ham,No problem. Talk to you later
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
ham,Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
ham,Will purchase d stuff today and mail to you. Do you have a po box number?
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114"
ham,aathi..where are you dear..
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893
ham,PS U no ur a grown up now right?
ham,Still work going on:)it is very small house.
ham,Any way where are you and what doing.
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,He's just gonna worry for nothing. And he won't give you money its no use.
ham,Then anything special?
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...
ham,Whens your radio show?
ham,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
spam,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 )
ham,I am going to sao mu today. Will be done only at 12
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
ham,Some of them told accenture is not confirm. Is it true.
ham,Whatsup there. Dont u want to sleep
ham,Yes.he have good crickiting mind
ham,We're on the opposite side from where we dropped you off
ham,He didn't see his shadow. We get an early spring yay
ham,How much is torch in 9ja.
ham,"I sent you the prices and do you mean the  &lt;#&gt; g,"
ham,Haven't left yet so probably gonna be here til dinner
ham,Hope you are feeling great. Pls fill me in. Abiola
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
ham,Am going to take bath ill place the key in window:-)
ham,Badrith is only for chennai:)i will surely pick for us:)no competition for him.
ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. &lt;#&gt;  Petrol-Rs. &lt;#&gt;  Beer-Rs. &lt;#&gt;  SHESIL  &lt;#&gt;
ham,"I shall book chez jules for half eight, if that's ok with you?"
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
ham,Thats cool. Where should i cum? On you or in you? :)
ham,Good. do you think you could send me some pix? I would love to see your top and bottom...
ham,Howz pain?hope u r fine..
ham,Boy you best get yo ass out here quick
ham,How come guoyang go n tell her? Then u told her?
ham,I WILL CAL YOU SIR. In meeting
ham,That's y u haf 2 keep me busy...
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,Your pussy is perfect!
ham,Too late. I said i have the website. I didn't i have or dont have the slippers
ham,Hey you around? I've got enough for a half + the ten I owe you
ham,Well. Balls. Time to make calls
ham,"Night night, see you tomorrow"
ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham,Actually getting ready to leave the house.
ham,Then mum's repent how?
ham,Here got lots of hair dresser fr china.
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham,How much she payed. Suganya.
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
ham,Just now saw your message.it k da:)
ham,So how's the weather over there?
ham,HMM yeah if your not too grooved out! And im looking forward to my pound special :)
ham,Compliments to you. Was away from the system. How your side.
ham,I anything lor.
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!
ham,"That means you got an A in epi, she.s fine. She.s here now."
ham,Only once then after ill obey all yours.
ham,"Just making dinner, you ?"
spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
ham,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.
ham,ALSO TELL HIM I SAID HAPPY BIRTHDAY
ham,Yeah just open chat and click friend lists. Then make the list. Easy as pie
ham,What pa tell me.. I went to bath:-)
ham,Will be office around 4 pm. Now i am going hospital.
spam,88066 FROM 88066 LOST 3POUND HELP
ham,I love working from home :)
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
ham,Mathews or tait or edwards or anderson
ham,"Princess, is your kitty shaved or natural?"
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service"
ham,"That's cool, I'll come by like  &lt;#&gt; ish"
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
ham,have * good weekend.
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,Becoz its  &lt;#&gt;  jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
ham,I'm at home n ready...
ham,Id have to check but there's only like 1 bowls worth left
ham,Ok try to do week end course in coimbatore.
ham,"Alright omw, gotta change my order to a half8th"
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,"Its ok., i just askd did u knw tht no?"
ham,What's the significance?
ham,"Pity, * was in mood for that. So...any other suggestions?"
ham,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.
ham,.Please charge my mobile when you get up in morning.
ham,"Yo, you around? Just got my car back"
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*"
ham,Okie
spam,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com
ham,"Trust me. Even if isn't there, its there."
ham,Excellent! Wish we were together right now!
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
ham,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
ham,It means u could not keep ur words.
ham,"It‘s £6 to get in, is that ok?"
ham,I dont understand your message.
ham,Please sen :)my kind advice :-)please come here and try:-)
ham,Take us out shopping and Mark will distract Isaiah.=D
spam,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx"
ham,Good. No swimsuit allowed :)
ham,Finally the match heading towards draw as your prediction.
ham,K..k.:)congratulation ..
ham,Then u going ikea str aft dat?
ham,I will reach before ten morning
ham,"Well, I meant as opposed to my drunken night of before"
ham,What you doing?how are you?
ham,When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
ham,"Aight, lemme know what's up"
ham,He remains a bro amongst bros
spam,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity
ham,No objection. My bf not coming.
ham,They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..
ham,Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"Hurry up, I've been weed-deficient for like three days"
ham,No..its ful of song lyrics..
ham,Ok anyway no need to change with what you said
ham,Da is good good player.why he is unsold.
spam,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921"
ham,Pls dont restrict her from eating anythin she likes for the next two days.
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
ham,Ok... C ya...
ham,Thx. All will be well in a few months
ham,"Hi elaine, is today's meeting confirmed?"
ham,Thank you. I like you as well...
ham,Who's there say hi to our drugdealer
ham,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?"
ham,"She was supposed to be but couldn't make it, she's still in town though"
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke
ham,Oh yeah! And my diet just flew out the window
ham,Hey r ü still online? I've finished the formatting...
ham,Ok leave no need to ask
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
spam,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts
ham,Okay but i thought you were the expert
ham,I dunno until when... Lets go learn pilates...
ham,I'm in class. Will holla later
ham,Ok. But i finish at 6.
ham,Do you always celebrate NY's with your family ?
ham,Yup ok thanx...
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
spam,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
ham,Sorry completely forgot * will pop em round this week if your still here?
ham,I am going to sleep. I am tired of travel.
ham,Then. You are eldest know.
ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
spam,This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!"
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
ham,"Hiya, had a good day? Have you spoken to since the weekend?"
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
ham,You still at grand prix?
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,Oh just getting even with u.... u?
ham,May b approve panalam...but it should have more posts..
ham,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*"
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
ham,Yeah whatever lol
ham,I'm done. C ü there.
ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
ham,Hey do you want anything to buy:)
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,"I think your mentor is , but not 100 percent sure."
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120"
ham,I'm home. Doc gave me pain meds says everything is fine.
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
ham,Got it. Seventeen pounds for seven hundred ml – hope ok.
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,Quite lor. But dun tell him wait he get complacent...
ham,I will see in half an hour
ham,Ok i am on the way to home hi hi
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
ham,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it."
ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
ham,I'm now but have to wait till 2 for the bus to pick me.
ham,Nah im goin 2 the wrks with j wot bout u?
ham,Thankyou so much for the call. I appreciate your care.
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
ham,Oh all have to come ah?
ham,4 oclock at mine. Just to bash out a flat plan.
ham,Ok lor...
ham,Will you come online today night
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,"How long has it been since you screamed, princess?"
ham,Good night my dear.. Sleepwell&amp;Take care
ham,K.k.how is your business now?
ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
ham,Nobody can decide where to eat and dad wants Chinese
ham,I know you are serving. I mean what are you doing now.
ham,Are you up for the challenge? I know i am :)
ham,Dont think so. It turns off like randomlly within 5min of opening
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,Are you available for soiree on June 3rd?
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
ham,K. I will sent it again
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,Long after I quit. I get on only like 5 minutes a day as it is.
ham,Even i cant close my eyes you are in me our vava playing umma :-D
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,Going for dinner.msg you after.
ham,MMM ... Fuck .... Merry Christmas to me
ham,Pandy joined 4w technologies today.he got job..
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
ham,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,I thank you so much for all you do with selflessness. I love you plenty.
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
ham,"How long before you get reply, just defer admission til next semester"
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
spam,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free
ham,Annoying isn't it.
ham,"As usual..iam fine, happy &amp; doing well..:)"
ham,Call me when you get the chance plz &lt;3
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,I am on the way to tirupur.
ham,"Okay, good, no problem, and thanx!"
ham,Oh for fuck's sake she's in like tallahassee
ham,If you are not coughing then its nothing
spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.
ham,S s..first time..dhoni rocks...
ham,"Haha, that was the first person I was gonna ask"
ham,Dont put your phone on silent mode ok
ham,I'm not. She lip synced with shangela.
ham,I cant pick the phone right now. Pls send a message
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
ham,Me too! Have a lovely night xxx
ham,He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes
ham,I'll probably be around mu a lot
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
ham,Ok lor thanx... Ü in school?
ham,That seems unnecessarily hostile
ham,* Thought I didn't see you.
